height,weight,birthYear,num_seasons,bioID,pos,college,collegeOther
70.0,167,1976,3,mccaiti01w,G-F,Kentucky,
73.0,161,1986,1,mccanra01w,F,North Carolina,
74.0,205,1982,5,mccarja01w,C,Minnesota,
69.0,155,1977,5,mccarst01w,G-F,Purdue,
65.0,125,1966,1,mcconsu01w,G,Penn State,
73.0,160,1986,1,mccouan01w,F,Louisville,
71.0,158,1971,7,mccrani01w,G,Tennessee,
68.0,125,1972,4,mccrini01w,G,USC,
75.0,180,1975,4,mcculda01w,F-C,Western Kentucky,
73.0,179,1968,3,mcgheca01w,F-C,Tennessee,
75.0,220,1980,5,mckivte01w,F-C,Tulane,
74.0,188,1970,10,mcwilta01w,F-C,St. Edwards,
75.0,185,1976,10,melvich01w,F-C,North Carolina State,
71.0,174,1982,1,mendigi01w,G,Washington,
71.0,153,1981,1,miaomi01w,G,,
76.0,0,1987,1,millebr01w,C,Florida State,
69.0,140,1978,9,milleco01w,G,Georgia,
70.0,140,1978,9,milleke01w,G,Georgia,
75.0,232,1976,8,millsta01w,C,Alabama,
73.0,185,1974,10,miltode01w,F,Florida,
65.0,130,1985,2,mitchle01w,G,Utah,
73.0,195,1984,2,moeggli01w,F,Michigan State,
66.0,140,1978,7,moisead01w,G,,
73.0,190,1980,1,montaan01w,F,George Washington,
67.0,139,1986,1,montgre01w,G,Connecticut,
73.0,207,1979,1,mooreja01w,C,Long Beach State,
75.0,175,1982,5,mooreje01w,F-C,Connecticut,
69.0,165,1983,5,moorelo01w,G,Tennessee,
70.0,145,1984,2,moorena01w,G,Alabama,
71.0,167,1980,6,mooreta01w,G-F,Wisconsin,
78.0,182,1978,1,moosca01w,F-C,Stanford,
73.0,172,1984,3,mosbybe01w,F,Baylor,Florida
77.0,236,1978,3,moweje01w,C,Oregon,
75.0,207,1976,1,mulitna01w,C,Stanford,
71.0,164,1985,3,murphsh01w,G,USC,
67.0,147,1971,3,nagyan01w,G,Florida International,
78.0,204,1983,1,nanch01w,C,,
75.0,182,1973,8,ndiayas01w,F-C,Southern Nazarene,
74.0,170,1983,1,ndongem01w,C,,
74.0,178,1972,2,nemcoev01w,F,,
68.0,136,1975,3,nevescl01w,G,,
71.0,154,1983,5,newtoch01w,G,Rutgers,
