year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID,tmID_encoded
6,1,4,1,0.5,0.0,0.0,873,2042,456,630,387,321,683,1004,551,737,264,492,136,818,1955,709,182,519,332,1041,567,654,247,544,115,34,150521,0.5,0.5,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.6470588235294118,0.5454545454545454,0.45454545454545453,LAS,8
7,1,1,1,1.0,0.5,0.0,962,2195,540,726,377,350,852,1202,610,679,296,534,129,873,2184,721,196,570,336,1082,565,636,284,556,128,34,141282,0.7352941176470589,0.2647058823529412,0.8823529411764706,0.11764705882352941,0.5882352941176471,0.4117647058823529,0.75,0.25,LAS,8
8,1,7,0,0.0,0.0,0.0,940,2305,493,627,456,356,783,1139,554,732,245,571,107,954,2212,800,191,537,343,1179,616,605,290,550,137,34,147810,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.2727272727272727,0.7272727272727273,LAS,8
9,1,3,1,1.0,0.5,0.0,954,2248,539,717,485,386,896,1282,613,713,251,608,216,888,2310,751,185,547,359,1127,513,717,303,523,141,34,161639,0.5882352941176471,0.4117647058823529,0.7058823529411765,0.29411764705882354,0.47058823529411764,0.5294117647058824,0.6,0.4,LAS,8
10,1,3,1,1.0,0.5,0.0,973,2264,435,550,512,365,883,1248,587,583,217,568,166,903,2262,623,213,636,320,1050,516,622,300,463,115,34,176587,0.5294117647058824,0.47058823529411764,0.6470588235294118,0.35294117647058826,0.4117647058823529,0.5882352941176471,0.55,0.45,LAS,8
1,0,6,0,0.0,0.0,0.0,647,1774,452,664,310,365,595,960,415,707,272,524,88,715,1676,627,117,315,275,923,416,661,247,528,118,32,127721,0.40625,0.59375,0.5625,0.4375,0.25,0.75,0.42857142857142855,0.5714285714285714,MIA,9
2,0,3,1,0.5,0.0,0.0,754,1826,356,469,295,292,651,943,467,602,300,448,153,679,1725,588,120,395,301,968,388,538,259,512,87,32,141717,0.625,0.375,0.625,0.375,0.625,0.375,0.6666666666666666,0.3333333333333333,MIA,9
3,0,6,0,0.0,0.0,0.0,774,1856,369,529,389,296,573,869,476,643,274,435,96,745,1722,614,129,382,278,971,446,588,222,515,104,32,141252,0.46875,0.53125,0.5625,0.4375,0.375,0.625,0.5238095238095238,0.47619047619047616,MIA,9
1,1,6,0,0.0,0.0,0.0,770,1831,449,592,571,258,612,870,495,690,237,497,63,755,1758,702,164,481,300,977,472,707,275,547,130,32,116638,0.46875,0.53125,0.5,0.5,0.4375,0.5625,0.23809523809523808,0.7619047619047619,MIN,10
2,1,6,0,0.0,0.0,0.0,671,1810,559,727,552,308,693,1001,437,695,210,507,127,752,1927,624,153,472,328,1016,511,719,259,470,126,32,120607,0.375,0.625,0.375,0.625,0.375,0.625,0.42857142857142855,0.5714285714285714,MIN,10
3,1,8,0,0.0,0.0,0.0,727,1775,383,578,500,309,650,959,466,617,226,529,102,747,1807,613,141,389,302,914,495,618,273,465,117,32,139874,0.3125,0.6875,0.4375,0.5625,0.1875,0.8125,0.2857142857142857,0.7142857142857143,MIN,10
4,1,4,1,0.5,0.0,0.0,875,1978,450,624,524,361,718,1079,580,634,242,558,101,878,2067,633,141,446,337,989,528,666,271,471,126,34,120253,0.5294117647058824,0.47058823529411764,0.6470588235294118,0.35294117647058826,0.4117647058823529,0.5882352941176471,0.5833333333333334,0.4166666666666667,MIN,10
5,1,3,1,0.5,0.0,0.0,767,1900,454,640,542,332,724,1056,526,660,257,613,139,804,1972,669,92,330,323,1036,508,676,333,502,133,34,125097,0.5294117647058824,0.47058823529411764,0.6470588235294118,0.35294117647058826,0.4117647058823529,0.5882352941176471,0.5454545454545454,0.45454545454545453,MIN,10
6,1,6,0,0.0,0.0,0.0,801,1946,437,601,492,310,715,1025,531,624,258,536,127,862,2019,592,129,376,344,1055,537,665,275,487,144,34,113447,0.4117647058823529,0.5882352941176471,0.6470588235294118,0.35294117647058826,0.17647058823529413,0.8235294117647058,0.4090909090909091,0.5909090909090909,MIN,10
7,1,7,0,0.0,0.0,0.0,945,2211,485,681,419,340,804,1144,491,654,193,530,113,1004,2314,719,179,542,372,1204,625,633,308,438,124,34,109522,0.29411764705882354,0.7058823529411765,0.47058823529411764,0.5294117647058824,0.11764705882352941,0.8823529411764706,0.3,0.7,MIN,10
