year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,total_blocks_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,Avg_Rebounds_Per_Game_weighted_mean,Points_Ratio_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies
7,0,1,0,,,0.501,0.493,0.462,0.379,0.898,0.524,0.196,0.289,0.118,0.545,0.402,0.413,0.876,0.252,0.323,IND,0.0,2.0,12.275444487661623,0.40270266928977266,0.7390553329326373,4.179233563282112,0.05275341676914078,0.5395891692589627,0.3777527865787992,2.0
8,0,1,1,0,,0.358,0.57,0.471,0.413,0.651,0.79,0.477,0.376,0.573,0.603,0.294,0.553,0.849,0.319,0.378,IND,3.0,3.0,15.958918236987984,0.4103279064331441,0.7920465237438199,5.1049136570695985,0.1922672703809216,0.5773551169686729,0.3867386713154068,1.0
9,0,1,0,,,0.453,0.742,0.51,0.375,0.737,0.773,0.667,0.224,0.399,0.704,0.301,0.647,0.842,0.437,0.364,IND,1.0,2.0,16.574135105928654,0.3895017811823282,0.6756764284763903,4.211837676061919,0.3058046856744635,0.5363863175139036,0.35177358282738563,1.0
10,0,1,1,1,0,0.671,0.683,0.476,0.468,1.0,0.537,0.353,0.376,0.287,0.746,0.372,0.493,0.958,0.333,0.384,IND,6.0,4.0,17.22167128922038,0.412760308424229,0.7635560696043017,5.080912678320073,0.29635354269265357,0.6385174358027306,0.4285436859512472,1.0
1,1,1,1,0,,0.542,0.398,0.314,0.669,0.452,0.253,0.608,0.219,0.185,0.294,0.193,0.307,0.367,0.252,0.235,LAS,2.0,2.0,22.849633003633986,0.44328731766515583,0.7658911850828468,4.897519972307813,0.12350371053048927,0.5709482404459378,0.4376222059803643,0.0
2,1,1,1,1,1,0.303,0.443,0.514,0.703,0.505,0.131,0.49,0.644,0.152,0.159,0.507,0.247,0.243,0.319,0.45,LAS,6.0,1.0,27.425110374718134,0.4407225947390894,0.7494825625802941,5.668926398843802,0.2012982879039846,0.6795451572267903,0.4243567630610934,3.0
3,1,1,1,1,1,0.426,0.597,0.414,0.659,0.376,0.476,0.641,0.461,0.264,0.206,0.405,0.52,0.243,0.296,0.639,LAS,6.0,0.0,26.65829428989695,0.44054825711910933,0.7279306671980639,5.572910176957668,0.1802610763762289,0.6342067306465591,0.3964635209982636,2.0
4,1,1,1,1,0,0.506,0.507,0.448,0.672,0.296,0.271,0.641,0.503,0.275,0.587,0.622,0.293,0.301,0.415,0.498,LAS,5.0,4.0,25.801734657183825,0.3816915893592205,0.7259148695431213,5.916859561804053,0.4331789863347502,0.7127990815560508,0.37418757932398866,1.0
5,1,1,0,,,0.613,0.43,0.333,0.805,0.403,0.528,0.556,0.438,0.404,0.423,0.486,0.607,0.514,0.319,0.593,LAS,1.0,2.0,19.653809787672486,0.42429267045169566,0.690492732270446,4.419659966584974,0.0644441056097586,0.566550675929802,0.37555811049708787,2.0
6,1,1,0,,,0.39,0.281,0.376,0.549,0.414,0.367,0.477,0.456,0.365,0.376,0.605,0.333,0.595,0.326,0.461,LAS,0.0,2.0,16.0144580468866,0.41044450192943094,0.6845386927274787,3.6862969984782286,0.06191931689826538,0.5254400558664012,0.3595005435348495,0.0
7,1,1,1,0,,0.622,0.222,0.514,0.751,0.586,0.55,0.431,0.57,0.388,0.474,0.598,0.58,0.641,0.422,0.415,LAS,2.0,3.0,15.112516862360318,0.41515984603235817,0.7236442847680643,4.440597032752005,0.13018873625803562,0.4991540642817477,0.374931195381417,3.0
8,1,0,,,,0.383,0.443,0.543,0.56,0.312,0.712,0.288,0.497,0.427,0.712,0.77,0.62,0.618,0.489,0.447,LAS,,,8.757576519269222,0.4068964433807096,0.765572653163151,3.547318177492504,0.0,0.4467740737308808,0.3129073645666581,0.0
9,1,1,1,0,,0.6,0.403,0.686,0.761,0.344,0.873,1.0,0.519,0.517,0.532,0.422,0.707,0.514,0.519,0.516,LAS,3.0,3.0,31.05403619565579,0.39183272560500076,0.7240289848335175,5.109067515631057,0.16643766120267658,0.5449246072860744,0.42033392475499387,3.0
