year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean
6,0,1,1,0,,0.305,0.398,0.471,0.352,0.801,0.301,0.209,0.116,0.067,0.381,0.159,0.247,0.649,0.311,0.421,IND,2.0,2.0,0.3952076872616489,,2.031344867566757,0.29639624506797596,0.5545723599488129,2.6161422825800233
7,0,1,0,,,0.501,0.493,0.462,0.379,0.898,0.524,0.196,0.289,0.118,0.545,0.402,0.413,0.876,0.252,0.323,IND,0.0,2.0,0.40270266928977266,0.7390553329326373,1.9247318097167905,0.3787362759521539,0.5395891692589627,3.1800021290441873
8,0,1,1,0,,0.358,0.57,0.471,0.413,0.651,0.79,0.477,0.376,0.573,0.603,0.294,0.553,0.849,0.319,0.378,IND,3.0,3.0,0.4103279064331441,0.7920465237438199,2.287559334277453,0.560525817132436,0.5773551169686729,2.9560788385132777
9,0,1,0,,,0.453,0.742,0.51,0.375,0.737,0.773,0.667,0.224,0.399,0.704,0.301,0.647,0.842,0.437,0.364,IND,1.0,2.0,0.3895017811823282,,1.9216177009456756,0.5548673360636736,0.5363863175139036,2.4311059257130765
10,0,1,1,1,0,0.671,0.683,0.476,0.468,1.0,0.537,0.353,0.376,0.287,0.746,0.372,0.493,0.958,0.333,0.384,IND,6.0,4.0,0.412760308424229,,2.3833195054454803,0.6075338712848485,0.6385174358027306,
1,1,1,1,0,,0.542,0.398,0.314,0.669,0.452,0.253,0.608,0.219,0.185,0.294,0.193,0.307,0.367,0.252,0.235,LAS,2.0,2.0,0.44328731766515583,0.7658911850828468,2.5065502629653627,0.7197813777721546,0.5709482404459378,2.3199326376548317
2,1,1,1,1,1,0.303,0.443,0.514,0.703,0.505,0.131,0.49,0.644,0.152,0.159,0.507,0.247,0.243,0.319,0.45,LAS,6.0,1.0,0.4407225947390894,0.7494825625802941,3.1292281833546856,0.8878179336087326,0.6795451572267903,1.989324935092379
3,1,1,1,1,1,0.426,0.597,0.414,0.659,0.376,0.476,0.641,0.461,0.264,0.206,0.405,0.52,0.243,0.296,0.639,LAS,6.0,0.0,0.44054825711910933,,2.7898516679437253,0.857680304393602,0.6342067306465591,
4,1,1,1,1,0,0.506,0.507,0.448,0.672,0.296,0.271,0.641,0.503,0.275,0.587,0.622,0.293,0.301,0.415,0.498,LAS,5.0,4.0,0.3816915893592205,,2.8563603607584502,1.051679977773885,0.7127990815560508,
5,1,1,0,,,0.613,0.43,0.333,0.805,0.403,0.528,0.556,0.438,0.404,0.423,0.486,0.607,0.514,0.319,0.593,LAS,1.0,2.0,0.42429267045169566,,2.482115875397757,0.6210987670192565,0.566550675929802,2.0098756449014012
6,1,1,0,,,0.39,0.281,0.376,0.549,0.414,0.367,0.477,0.456,0.365,0.376,0.605,0.333,0.595,0.326,0.461,LAS,0.0,2.0,0.41044450192943094,,2.1898889134543995,0.49244476161949385,0.5254400558664012,2.462682789821168
7,1,1,1,0,,0.622,0.222,0.514,0.751,0.586,0.55,0.431,0.57,0.388,0.474,0.598,0.58,0.641,0.422,0.415,LAS,2.0,3.0,0.41515984603235817,,2.1577296152367804,0.5081785216640444,0.4991540642817477,1.8713499640454532
8,1,0,,,,0.383,0.443,0.543,0.56,0.312,0.712,0.288,0.497,0.427,0.712,0.77,0.62,0.618,0.489,0.447,LAS,,,0.4068964433807096,,1.838850349801552,0.35794095005654736,0.4467740737308808,1.6889174892393417
9,1,1,1,0,,0.6,0.403,0.686,0.761,0.344,0.873,1.0,0.519,0.517,0.532,0.422,0.707,0.514,0.519,0.516,LAS,3.0,3.0,0.39183272560500076,,2.372841369610462,0.9572054663186628,0.5449246072860744,3.2224430737235683
10,1,1,1,0,,0.196,0.407,0.586,0.672,0.161,0.699,0.673,0.718,0.298,0.431,0.432,0.687,0.282,0.326,0.59,LAS,3.0,3.0,0.4280231344025276,0.790694749516233,2.543657852381632,0.8963452797104853,0.6539891086906894,3.8859981317403753
1,0,0,,,,0.472,0.104,0.586,0.085,0.457,0.507,0.163,0.0,0.045,0.214,0.095,0.333,0.533,0.348,0.348,MIA,,,0.3604541291408453,0.6743084866064332,1.344961193554763,0.2781712913303653,0.4332153512414822,0.9496432485078485
