year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_8,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostoRebounds,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
8,1,5.82,1,0.14,0.0,0.0,829.5,2002.93,524.64,691.86,354.0,317.96,748.86,1066.82,484.25,648.54,225.07,512.11,118.64,896.61,2108.0,644.68,151.68,441.82,356.07,1097.29,543.54,662.75,271.68,451.39,137.54,33.57,135388.29,0.37,0.63,0.44,0.56,0.3,0.7,0.38,0.62,15.0,4.0,1.1,1.85,0.41,0.77,30.33,25.92,70.48,0.35,1.26,0.06,3.87,2.13,3.45,0.67,0.02,1978.37,0.53,257.93,67.52,71.04,834.37,7.91,37.31,45.19,13.23,134.62,35.05,60.21,163.98,SAS
9,1,4.97,1,0.33,0.11,0.0,850.28,2041.39,511.17,666.33,401.11,319.08,752.22,1071.31,502.64,649.53,237.94,522.31,121.17,898.25,2114.89,654.31,150.64,444.53,357.17,1106.11,537.42,653.03,268.42,480.64,137.42,33.67,133897.56,0.42,0.58,0.46,0.54,0.37,0.63,0.43,0.57,15.0,4.16,1.01,1.97,0.43,0.8,30.01,25.57,74.06,0.38,1.99,0.09,7.96,5.45,6.11,0.68,0.02,1978.27,0.43,260.49,65.64,71.1,838.2,8.33,37.83,44.22,16.56,144.23,34.2,65.0,165.46,SAS
10,1,4.11,1,0.49,0.32,0.11,863.89,2061.17,517.61,665.72,443.78,302.22,774.0,1076.22,525.5,637.36,247.64,523.25,124.86,903.83,2157.17,647.5,148.69,453.92,365.42,1137.28,531.47,653.56,269.5,495.78,131.31,33.83,135130.36,0.47,0.53,0.54,0.46,0.41,0.59,0.44,0.56,15.0,4.09,1.02,1.93,0.43,0.8,30.47,24.31,70.76,0.36,2.29,0.07,13.96,6.11,8.42,0.66,0.05,1978.36,0.45,261.71,69.54,70.85,821.8,8.26,33.72,50.96,16.95,147.19,35.98,67.67,164.82,SAS
11,1,4.03,1,0.5,0.28,0.1,884.08,2100.28,508.94,652.67,523.19,295.97,775.03,1071.0,545.5,626.53,252.39,521.17,121.19,929.53,2192.69,640.0,154.78,465.89,366.0,1156.25,532.06,649.97,269.0,502.61,127.72,33.94,133740.94,0.47,0.53,0.55,0.45,0.38,0.62,0.45,0.55,9.42,3.73,1.28,1.87,0.42,0.81,31.06,25.62,70.45,0.36,1.87,0.1,11.94,4.23,8.62,0.68,0.04,1979.19,0.6,299.2,75.19,70.25,864.58,7.32,30.91,80.26,16.23,132.64,44.87,65.02,159.57,SAS
2,1,8.0,0,0.0,0.0,0.0,667.0,1740.0,379.0,561.0,364.0,256.0,537.0,793.0,390.0,648.0,255.0,525.0,93.0,778.0,1721.0,654.0,117.0,334.0,288.0,1009.0,506.0,618.0,284.0,529.0,123.0,32.0,142594.0,0.19,0.81,0.25,0.75,0.12,0.88,0.19,0.81,16.0,2.49,0.87,1.67,0.38,0.61,28.69,13.49,62.7,0.27,0.0,0.0,0.0,0.06,0.11,0.52,0.0,1971.96,0.64,147.74,32.77,72.45,602.85,4.22,20.79,33.91,9.26,70.91,25.96,47.74,162.44,SEA
3,1,8.0,1,0.0,0.0,0.0,681.67,1794.0,403.0,591.0,396.0,289.33,569.0,858.33,404.67,619.33,267.0,462.33,115.67,761.33,1740.33,590.67,122.33,328.0,293.33,1037.67,496.67,598.0,246.67,522.33,125.67,32.0,111036.0,0.27,0.73,0.29,0.71,0.25,0.75,0.25,0.75,16.0,3.45,1.03,1.43,0.38,0.67,29.63,18.19,67.99,0.37,0.33,0.0,0.22,0.11,1.0,0.58,0.0,1974.96,0.89,188.54,42.95,72.68,702.44,5.35,31.04,57.0,19.08,103.75,31.18,42.85,164.61,SEA
4,1,6.0,0,0.25,0.0,0.0,737.83,1871.0,410.5,567.0,451.0,325.67,601.0,926.67,459.33,621.17,274.5,469.67,133.33,772.17,1779.17,588.83,112.17,335.0,300.17,1003.33,492.33,580.5,250.33,526.67,125.33,32.0,111405.0,0.4,0.6,0.46,0.54,0.34,0.66,0.37,0.63,16.0,3.32,1.11,1.81,0.41,0.76,29.17,21.49,61.33,0.31,0.67,0.0,2.7,0.92,4.39,0.63,0.0,1975.59,0.37,241.54,57.24,71.57,755.1,6.38,29.87,68.73,17.51,101.79,35.24,56.84,162.52,SEA
5,1,5.6,1,0.15,0.0,0.0,798.7,1940.6,423.1,567.0,470.6,332.2,653.4,985.6,494.8,630.3,257.5,467.8,135.2,800.9,1883.1,589.7,125.3,375.8,320.9,1018.4,477.8,576.3,248.2,499.6,116.8,32.8,115185.8,0.45,0.55,0.58,0.42,0.32,0.68,0.4,0.6,16.0,4.21,1.03,1.9,0.42,0.75,29.75,21.25,67.19,0.37,0.36,0.03,2.27,0.94,1.75,0.64,0.09,1976.37,0.64,283.45,59.95,72.64,781.22,8.11,39.07,73.38,17.44,130.49,33.14,60.0,166.88,SEA
6,1,4.4,1,0.43,0.33,0.33,823.47,1968.73,456.73,603.33,460.07,338.13,671.93,1010.07,513.87,641.87,272.33,478.2,133.8,817.6,1918.4,590.47,129.87,380.87,314.93,1006.27,487.53,610.2,249.47,508.73,123.53,33.2,121554.2,0.5,0.5,0.64,0.36,0.35,0.65,0.47,0.53,16.0,4.02,0.92,1.86,0.42,0.77,29.68,19.25,62.47,0.35,1.63,0.0,8.53,3.81,6.65,0.62,0.13,1978.63,0.47,277.43,62.54,72.94,766.04,7.97,35.22,81.18,22.13,135.38,32.18,63.47,166.07,SEA
7,1,3.71,1,0.45,0.24,0.24,847.05,1996.52,481.67,627.52,451.19,333.81,701.67,1035.48,515.62,646.19,251.95,489.0,140.71,838.86,1988.29,606.33,130.76,391.76,320.38,1010.19,510.52,633.29,254.48,488.52,132.24,33.43,130010.14,0.52,0.48,0.69,0.31,0.35,0.65,0.5,0.5,16.0,4.01,0.77,1.71,0.42,0.75,29.89,20.4,68.81,0.34,1.29,0.0,6.33,2.7,5.47,0.6,0.09,1979.01,0.78,240.26,57.29,72.99,743.59,7.81,37.06,61.09,20.27,135.85,26.58,57.3,171.94,SEA
