year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_4,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
6,1,6.0,0,0.0,0.0,0.0,806.0,1964.5,420.0,572.3,409.2,301.1,643.1,944.2,475.5,685.5,288.4,481.4,120.7,812.3,1861.3,657.4,138.7,367.2,309.6,1045.5,493.9,644.4,254.8,547.3,136.7,33.4,139528.8,0.38,0.62,0.53,0.47,0.23,0.77,0.37,0.63,12.0,3.76,0.96,1.58,0.43,0.74,31.07,22.94,76.1,0.4,0.32,0.0,1.4,0.56,0.62,0.14,1978.07,1.58,254.95,56.8,73.24,789.53,6.64,37.43,63.64,14.95,121.85,31.6,51.48,171.93,PHO
7,1,5.6,0,0.0,0.0,0.0,817.7,1982.1,465.5,621.6,473.9,316.6,674.8,991.4,504.8,698.3,270.5,491.9,144.3,829.0,1911.1,691.2,131.0,350.2,311.8,1038.5,479.8,660.2,255.6,525.1,127.8,33.8,133428.9,0.42,0.58,0.57,0.43,0.27,0.73,0.44,0.56,12.0,3.37,0.9,1.74,0.41,0.75,29.46,20.22,71.85,0.36,0.3,0.0,2.07,1.62,0.59,0.1,1978.56,1.36,230.67,57.11,72.27,730.49,7.27,30.68,70.25,12.08,105.28,28.65,55.71,163.15,PHO
8,1,5.2,1,0.0,0.0,0.0,924.7,2165.7,503.2,656.7,589.2,324.7,735.1,1059.8,567.0,721.5,270.3,472.6,143.0,905.9,2097.6,764.2,157.7,453.5,351.0,1135.8,514.3,667.9,244.6,527.9,126.0,34.0,129674.3,0.48,0.52,0.58,0.42,0.37,0.63,0.44,0.56,12.0,3.45,0.95,1.74,0.43,0.78,30.3,19.81,74.7,0.36,0.44,0.0,1.39,1.14,0.62,0.12,1980.15,1.15,296.02,67.36,72.13,767.92,6.99,30.67,87.78,13.63,106.65,29.9,54.25,163.1,PHO
9,1,3.4,0,0.4,0.4,0.4,996.7,2288.8,559.3,705.2,697.1,306.6,801.7,1108.3,625.1,699.7,273.3,476.8,151.2,965.1,2301.5,758.4,214.4,591.4,395.1,1247.7,564.2,674.7,242.5,549.3,117.5,34.0,129108.6,0.57,0.43,0.65,0.35,0.5,0.5,0.59,0.41,12.0,3.71,0.98,1.85,0.42,0.79,31.41,24.14,74.77,0.4,2.11,0.08,13.93,16.78,0.65,0.21,1979.89,0.85,325.22,71.5,72.06,842.99,7.25,29.05,101.4,17.56,137.45,35.86,65.41,162.82,PHO
10,1,4.2,1,0.3,0.3,0.3,1044.9,2405.9,602.1,741.5,719.3,334.7,836.5,1171.2,611.8,732.9,257.6,481.5,153.4,1011.1,2413.1,830.0,236.9,663.4,423.0,1295.2,611.0,693.0,239.5,534.2,120.7,34.0,135178.8,0.54,0.46,0.63,0.37,0.46,0.54,0.53,0.47,12.0,4.16,0.99,1.88,0.43,0.81,29.99,24.02,79.56,0.44,1.64,0.05,9.17,9.64,0.63,0.09,1981.5,1.15,323.68,87.46,72.02,784.03,6.28,33.61,93.91,18.98,139.24,33.21,61.97,166.81,PHO
11,1,2.9,1,0.6,0.6,0.6,1092.4,2454.3,626.7,751.9,708.9,315.3,873.4,1188.7,618.6,739.9,244.1,488.1,163.7,1055.1,2512.0,848.4,233.2,665.9,430.2,1309.7,621.2,687.2,246.1,506.7,130.3,34.0,140398.6,0.6,0.4,0.66,0.34,0.54,0.46,0.57,0.43,9.42,4.55,0.87,1.85,0.43,0.76,30.04,18.41,73.72,0.4,2.52,0.2,13.86,11.6,0.58,0.19,1911.03,0.66,281.89,86.15,69.79,735.38,4.96,42.16,57.94,22.83,164.32,29.83,64.48,150.09,PHO
2,1,7.0,0,0.0,0.0,0.0,761.0,1828.0,488.0,697.0,433.0,309.0,627.0,936.0,480.0,761.0,265.0,593.0,93.0,788.0,1847.0,766.0,150.0,447.0,307.0,953.0,487.0,729.0,277.0,531.0,130.0,32.0,133076.0,0.31,0.69,0.38,0.62,0.25,0.75,0.19,0.81,13.0,3.86,1.0,2.02,0.42,0.73,30.55,25.06,82.01,0.32,0.0,0.0,0.0,0.0,0.65,0.0,1973.79,1.19,227.65,63.92,71.94,812.24,5.34,37.27,53.61,12.15,119.5,30.88,62.36,165.13,POR
3,1,7.0,0,0.0,0.0,0.0,742.33,1870.0,462.67,640.33,490.33,303.0,673.0,976.0,460.67,675.67,251.0,531.0,101.67,790.0,1911.67,692.67,156.0,422.33,331.0,1055.0,496.33,671.67,287.67,493.0,139.33,32.0,136129.33,0.33,0.67,0.38,0.62,0.29,0.71,0.22,0.78,13.0,3.55,0.9,1.69,0.41,0.72,30.21,22.55,65.67,0.35,0.37,0.0,1.76,3.85,0.61,0.16,1975.28,0.52,194.46,54.15,70.89,750.75,4.85,30.67,48.66,11.55,112.05,28.25,52.99,161.53,POR
2,1,3.0,1,0.5,0.0,0.0,876.0,1993.0,449.0,650.0,459.0,388.0,650.0,1038.0,567.0,571.0,332.0,458.0,157.0,811.0,1918.0,544.0,144.0,418.0,320.0,951.0,503.0,600.0,226.0,524.0,116.0,32.0,126841.0,0.66,0.34,0.81,0.19,0.5,0.5,0.62,0.38,14.0,4.31,1.32,2.0,0.44,0.72,29.31,25.62,72.15,0.4,0.28,0.13,4.05,3.78,0.68,0.0,1972.6,0.77,261.38,62.19,72.05,799.34,7.06,48.17,48.67,25.51,139.88,41.44,61.38,162.94,SAC
3,1,2.33,0,0.83,0.33,0.0,850.0,1980.33,454.33,628.67,435.0,378.67,698.67,1077.33,561.0,582.33,294.67,482.0,157.67,806.33,1974.67,566.67,125.33,406.0,335.33,987.0,498.33,610.67,249.33,495.33,134.0,32.0,131349.0,0.64,0.36,0.77,0.23,0.5,0.5,0.62,0.38,14.0,4.22,1.15,1.86,0.42,0.73,29.32,21.33,67.57,0.37,1.81,0.04,10.93,6.93,0.63,0.0,1972.1,0.62,229.98,55.08,72.0,744.44,7.08,45.79,44.99,22.09,143.48,37.79,59.58,162.04,SAC
4,1,4.17,1,0.42,0.17,0.0,815.0,1962.67,474.17,640.83,415.0,339.83,673.33,1013.17,530.5,628.67,270.83,469.0,133.33,810.67,1959.33,623.83,137.17,429.5,343.67,1031.0,495.67,621.83,241.17,495.67,131.0,32.0,137764.0,0.54,0.46,0.7,0.3,0.38,0.62,0.5,0.5,14.0,4.42,1.11,1.8,0.42,0.72,27.52,18.36,70.77,0.37,0.85,0.02,5.12,2.53,0.64,0.0,1972.73,0.75,226.28,59.41,72.71,714.66,8.1,42.34,29.77,19.51,130.94,31.53,52.04,161.75,SAC
5,1,3.7,1,0.65,0.3,0.0,833.8,2020.4,454.5,634.9,438.2,343.5,691.2,1034.7,545.5,633.6,281.3,465.8,128.8,812.8,1972.0,613.1,141.9,444.5,344.2,1057.0,503.8,629.1,234.3,527.8,135.0,32.8,144889.6,0.55,0.45,0.7,0.3,0.39,0.61,0.52,0.48,14.0,4.14,1.08,1.69,0.41,0.7,29.87,18.2,69.74,0.37,1.61,0.01,8.43,6.6,0.62,0.03,1973.8,0.74,233.51,55.31,72.22,748.2,8.15,41.16,46.92,17.78,140.21,34.07,55.86,162.33,SAC
6,1,3.9,1,0.8,0.4,0.0,847.9,2047.3,446.0,621.8,409.2,357.9,671.3,1029.2,533.8,642.5,291.7,472.9,121.4,809.4,1935.2,625.5,150.5,453.9,332.2,1038.7,508.2,638.6,236.3,557.3,129.0,33.4,147887.1,0.53,0.47,0.65,0.35,0.41,0.59,0.52,0.48,14.0,4.14,1.09,1.78,0.42,0.71,31.65,17.43,71.96,0.37,2.43,0.0,10.23,5.46,0.59,0.0,1976.51,0.57,203.45,57.7,73.06,744.59,8.64,45.13,36.58,16.06,146.79,38.84,62.97,168.42,SAC
7,1,2.8,1,0.9,0.65,0.4,853.8,2031.9,462.5,660.1,387.6,364.2,668.5,1032.7,530.1,661.6,299.9,483.3,113.9,786.0,1883.4,638.0,138.2,426.5,306.4,1009.3,491.6,674.3,234.4,591.5,128.9,33.8,147881.9,0.61,0.39,0.73,0.27,0.48,0.52,0.62,0.38,14.0,3.96,1.13,1.69,0.41,0.72,31.53,19.34,67.57,0.4,2.25,0.03,13.87,8.53,0.6,0.07,1977.46,0.33,220.62,59.43,72.85,753.03,8.09,42.45,43.23,15.26,150.17,42.16,62.34,166.72,SAC
8,1,2.2,1,1.0,0.85,0.5,884.5,2096.9,494.5,696.1,412.7,390.6,689.0,1079.6,522.3,665.5,315.7,509.9,103.4,816.3,1928.8,646.2,143.4,453.9,296.0,1004.5,495.9,684.9,238.7,616.0,134.3,34.0,147726.1,0.63,0.37,0.78,0.22,0.48,0.52,0.6,0.4,14.0,3.61,1.01,1.47,0.4,0.71,31.62,17.67,62.35,0.4,1.85,0.0,14.06,9.32,0.54,0.14,1978.71,0.23,200.94,52.17,72.94,685.58,7.3,37.51,41.9,12.2,139.88,38.24,55.21,166.5,SAC
9,1,2.4,1,0.8,0.55,0.35,894.1,2147.0,533.7,724.9,418.4,418.9,703.5,1122.4,524.8,658.7,321.2,555.5,100.2,848.5,1990.5,657.6,159.9,491.9,297.0,1008.1,512.8,690.9,253.9,633.2,137.4,34.0,145148.7,0.61,0.39,0.76,0.24,0.45,0.55,0.58,0.42,14.0,3.62,1.0,1.51,0.39,0.74,30.91,18.61,59.44,0.38,1.44,0.0,9.25,9.17,0.55,0.05,1979.82,0.32,210.85,50.52,72.83,688.55,7.09,36.98,52.89,10.41,129.56,36.55,53.03,164.48,SAC
10,1,3.0,0,0.65,0.3,0.2,892.6,2164.4,573.8,770.2,432.1,411.3,716.7,1128.0,504.8,671.0,321.5,576.1,89.5,900.0,2062.0,645.5,172.7,519.9,301.7,1038.3,542.7,720.0,261.3,633.1,166.5,34.0,142468.0,0.58,0.42,0.77,0.23,0.38,0.62,0.52,0.48,14.0,3.45,1.03,1.59,0.42,0.77,31.66,17.43,64.31,0.37,0.93,0.04,6.87,6.52,0.53,0.02,1981.15,0.31,214.77,58.11,72.58,683.95,6.0,38.18,50.99,9.44,122.71,36.18,55.69,166.82,SAC
2,1,5.0,1,0.0,0.0,0.0,858.0,1896.0,609.0,790.0,262.0,348.0,732.0,1080.0,522.0,698.0,214.0,544.0,157.0,860.0,1964.0,721.0,156.0,448.0,313.0,911.0,503.0,702.0,301.0,437.0,112.0,32.0,103442.0,0.56,0.44,0.75,0.25,0.38,0.62,0.62,0.38,15.0,5.1,0.96,2.22,0.45,0.76,28.55,23.2,84.46,0.47,0.0,0.0,0.0,0.0,0.68,0.0,1972.52,1.35,239.83,75.64,63.8,767.12,4.95,47.76,21.85,18.6,148.4,27.75,64.34,175.34,SAS
3,1,3.67,1,0.33,0.0,0.0,826.67,1864.67,541.0,713.33,250.0,312.67,760.67,1073.33,523.33,647.33,206.0,510.0,156.33,812.67,1972.0,680.33,135.33,435.33,333.67,953.0,486.33,664.0,283.67,405.67,136.0,32.0,108152.0,0.58,0.42,0.62,0.38,0.54,0.46,0.56,0.44,15.0,4.84,0.89,2.13,0.43,0.75,29.68,23.83,76.13,0.44,1.09,0.2,5.13,1.44,0.71,0.0,1972.88,0.97,258.53,73.66,62.66,843.17,5.95,42.64,23.95,21.35,151.8,27.76,66.12,175.32,SAS
4,1,3.33,0,0.67,0.0,0.0,834.83,1887.83,592.0,778.67,248.5,329.83,740.83,1070.67,500.67,656.17,217.0,516.0,167.17,831.83,2019.5,684.17,130.67,406.17,347.33,979.5,487.67,694.0,271.83,424.83,142.5,32.0,113436.0,0.6,0.4,0.69,0.31,0.52,0.48,0.56,0.44,15.0,4.22,0.91,2.25,0.42,0.74,29.59,25.47,77.42,0.44,2.18,0.05,9.43,4.1,0.71,0.0,1972.86,0.54,262.62,76.9,62.16,859.84,5.97,37.19,30.25,26.24,140.27,30.17,75.26,171.39,SAS
5,1,4.4,0,0.4,0.0,0.0,817.7,1959.9,570.4,761.6,275.1,337.9,762.5,1100.4,471.6,684.9,205.0,514.8,167.1,845.9,2082.1,708.5,138.0,436.5,364.0,1056.5,504.6,684.0,273.1,424.5,141.5,32.8,138672.0,0.5,0.5,0.62,0.38,0.38,0.62,0.5,0.5,15.0,4.75,0.97,2.06,0.42,0.72,31.49,24.39,75.69,0.44,1.34,0.02,6.58,1.71,0.67,0.0,1975.87,0.59,280.96,81.34,64.76,851.3,6.79,49.47,27.34,21.39,160.25,32.41,69.59,171.53,SAS
6,1,5.5,0,0.25,0.0,0.0,812.1,1963.5,535.9,708.3,267.1,324.7,740.6,1065.3,473.6,664.8,230.7,512.8,143.7,864.4,2065.0,652.7,151.2,450.5,352.9,1063.8,534.6,659.6,274.0,451.8,138.2,33.4,144839.3,0.4,0.6,0.51,0.49,0.29,0.71,0.4,0.6,15.0,3.17,0.96,1.79,0.42,0.69,28.58,23.17,62.76,0.27,0.5,0.0,4.26,2.82,0.62,0.08,1975.64,0.51,230.24,67.98,70.77,738.94,7.55,27.68,41.38,5.63,101.34,29.32,56.94,158.13,SAS
7,1,6.4,0,0.1,0.0,0.0,791.9,1919.9,519.5,680.8,297.4,297.7,717.4,1015.1,454.5,660.5,219.8,522.7,119.0,884.1,2066.4,631.4,150.8,438.0,351.5,1067.2,552.6,667.4,278.2,448.4,140.8,33.8,144013.9,0.29,0.71,0.4,0.6,0.19,0.81,0.28,0.72,15.0,2.63,0.75,1.78,0.41,0.77,29.13,20.81,57.63,0.3,0.23,0.0,3.0,1.94,0.61,0.0,1977.21,0.54,202.46,56.28,71.12,741.39,7.3,22.28,50.65,5.73,84.02,23.99,55.99,160.13,SAS
8,1,6.5,1,0.0,0.0,0.0,836.8,2046.7,503.9,663.6,405.0,313.8,752.3,1066.1,487.3,637.4,230.0,509.6,98.1,923.3,2140.7,626.6,157.9,448.0,357.8,1135.3,560.9,653.6,270.0,461.5,135.8,34.0,137011.8,0.3,0.7,0.35,0.65,0.25,0.75,0.34,0.66,15.0,4.09,1.12,1.9,0.41,0.78,30.35,27.24,71.55,0.34,1.35,0.09,2.67,2.03,0.68,0.01,1978.35,0.54,262.79,69.01,71.03,846.43,7.93,37.65,46.77,13.42,136.68,35.05,61.13,163.85,SAS
9,1,4.7,1,0.4,0.2,0.0,877.7,2107.5,486.2,625.6,485.7,316.8,757.9,1074.7,524.7,637.0,253.2,527.9,105.5,922.2,2146.3,645.8,153.9,447.8,358.6,1140.3,544.5,639.3,263.6,512.2,136.0,34.0,130479.2,0.42,0.58,0.41,0.59,0.42,0.58,0.44,0.56,15.0,4.27,1.04,2.04,0.43,0.81,29.9,26.71,74.08,0.38,2.05,0.13,6.97,6.79,0.69,0.0,1978.29,0.39,266.6,65.68,71.06,843.75,8.34,37.25,47.64,16.72,146.36,34.58,66.81,165.06,SAS
10,1,2.9,1,0.7,0.55,0.2,896.7,2119.1,514.7,650.3,530.5,291.7,799.8,1091.5,561.8,623.7,262.4,528.5,124.6,917.4,2208.4,649.1,146.9,462.0,373.4,1176.4,523.1,648.8,267.4,525.0,125.3,34.0,131548.0,0.56,0.44,0.61,0.39,0.5,0.5,0.49,0.51,15.0,4.21,1.02,1.95,0.43,0.81,30.41,24.52,69.14,0.36,2.62,0.08,15.61,10.55,0.67,0.07,1978.41,0.39,268.38,70.5,70.81,819.82,8.26,32.57,55.87,17.45,152.22,36.62,69.68,164.44,SAS
11,1,2.9,1,0.7,0.4,0.15,920.8,2160.7,506.3,641.2,626.1,286.2,795.5,1081.7,586.9,610.6,265.6,521.5,125.7,949.4,2246.9,639.8,156.8,481.2,371.7,1188.1,520.8,644.9,267.4,523.8,121.0,34.0,130210.3,0.54,0.46,0.64,0.36,0.45,0.55,0.52,0.48,9.42,3.75,1.35,1.9,0.42,0.82,31.51,27.0,70.77,0.36,1.75,0.07,13.05,11.09,0.71,0.03,1979.13,0.58,317.77,79.59,70.01,898.55,7.32,30.32,92.5,15.78,133.75,48.09,66.86,158.44,SAS
2,1,8.0,0,0.0,0.0,0.0,667.0,1740.0,379.0,561.0,364.0,256.0,537.0,793.0,390.0,648.0,255.0,525.0,93.0,778.0,1721.0,654.0,117.0,334.0,288.0,1009.0,506.0,618.0,284.0,529.0,123.0,32.0,142594.0,0.19,0.81,0.25,0.75,0.12,0.88,0.19,0.81,16.0,2.49,0.87,1.67,0.38,0.61,28.69,13.49,62.7,0.27,0.0,0.0,0.0,0.11,0.52,0.0,1971.96,0.64,147.74,32.77,72.45,602.85,4.22,20.79,33.91,9.26,70.91,25.96,47.74,162.44,SEA
3,1,8.0,1,0.0,0.0,0.0,681.67,1794.0,403.0,591.0,396.0,289.33,569.0,858.33,404.67,619.33,267.0,462.33,115.67,761.33,1740.33,590.67,122.33,328.0,293.33,1037.67,496.67,598.0,246.67,522.33,125.67,32.0,111036.0,0.27,0.73,0.29,0.71,0.25,0.75,0.25,0.75,16.0,3.45,1.03,1.43,0.38,0.67,29.63,18.19,67.99,0.37,0.33,0.0,0.22,1.0,0.58,0.0,1974.96,0.89,188.54,42.95,72.68,702.44,5.35,31.04,57.0,19.08,103.75,31.18,42.85,164.61,SEA
4,1,6.0,0,0.25,0.0,0.0,737.83,1871.0,410.5,567.0,451.0,325.67,601.0,926.67,459.33,621.17,274.5,469.67,133.33,772.17,1779.17,588.83,112.17,335.0,300.17,1003.33,492.33,580.5,250.33,526.67,125.33,32.0,111405.0,0.4,0.6,0.46,0.54,0.34,0.66,0.37,0.63,16.0,3.32,1.11,1.81,0.41,0.76,29.17,21.49,61.33,0.31,0.67,0.0,2.7,4.39,0.63,0.0,1975.59,0.37,241.54,57.24,71.57,755.1,6.38,29.87,68.73,17.51,101.79,35.24,56.84,162.52,SEA
5,1,5.6,1,0.15,0.0,0.0,798.7,1940.6,423.1,567.0,470.6,332.2,653.4,985.6,494.8,630.3,257.5,467.8,135.2,800.9,1883.1,589.7,125.3,375.8,320.9,1018.4,477.8,576.3,248.2,499.6,116.8,32.8,115185.8,0.45,0.55,0.58,0.42,0.32,0.68,0.4,0.6,16.0,4.21,1.03,1.9,0.42,0.75,29.75,21.25,67.19,0.37,0.36,0.03,2.27,1.75,0.64,0.09,1976.37,0.64,283.45,59.95,72.64,781.22,8.11,39.07,73.38,17.44,130.49,33.14,60.0,166.88,SEA
6,1,3.9,1,0.5,0.4,0.4,843.9,1995.2,467.3,609.7,468.0,345.6,688.3,1033.9,529.2,644.3,274.1,477.6,136.7,825.5,1945.9,587.4,132.0,388.4,317.8,1004.1,486.4,613.6,247.9,506.6,123.7,33.4,121854.0,0.53,0.47,0.69,0.31,0.37,0.63,0.5,0.5,16.0,3.99,0.91,1.85,0.42,0.77,29.77,19.2,62.4,0.35,1.65,0.0,8.84,6.91,0.62,0.13,1978.66,0.43,276.85,62.12,72.91,765.01,7.99,34.78,81.49,22.06,135.48,32.13,63.71,166.06,SEA
7,1,2.8,1,0.55,0.3,0.3,881.7,2037.7,505.0,645.7,453.9,338.8,732.8,1071.6,534.6,653.4,245.6,496.8,145.2,859.2,2051.5,612.9,134.1,406.5,325.6,1007.7,519.3,650.1,256.8,478.2,136.0,33.8,136096.1,0.57,0.43,0.77,0.23,0.37,0.63,0.55,0.45,16.0,4.04,0.76,1.71,0.43,0.76,30.35,20.82,70.03,0.34,1.4,0.0,7.03,6.08,0.6,0.1,1979.0,0.77,243.07,59.23,72.99,756.56,7.84,37.79,60.51,20.59,140.4,26.86,58.64,171.83,SEA
8,1,3.1,1,0.55,0.2,0.2,919.8,2078.9,537.0,683.1,456.5,331.9,776.2,1108.1,526.8,667.3,236.7,529.1,138.2,898.2,2137.8,654.1,147.8,441.2,324.8,1018.9,525.4,673.1,273.8,476.7,130.0,34.0,142554.5,0.56,0.44,0.69,0.31,0.43,0.57,0.54,0.46,16.0,3.89,0.75,1.73,0.42,0.75,29.5,19.34,63.55,0.36,1.43,0.04,7.51,6.94,0.57,0.17,1979.94,0.68,228.9,57.61,72.7,692.6,7.47,33.66,58.09,17.51,125.44,25.31,57.23,167.86,SEA
9,1,3.4,1,0.55,0.1,0.1,942.4,2136.9,562.6,704.8,527.8,335.3,800.4,1135.7,526.6,650.5,236.8,537.3,143.2,940.3,2225.3,634.9,167.7,479.3,326.9,1049.1,556.7,667.7,276.5,483.8,123.8,34.0,141579.5,0.54,0.46,0.68,0.32,0.39,0.61,0.53,0.47,16.0,4.5,0.98,1.81,0.42,0.75,29.98,20.34,61.74,0.45,2.34,0.0,11.64,4.82,0.63,0.26,1979.07,0.35,243.05,69.65,73.35,756.81,7.21,43.48,48.29,20.11,152.94,32.17,59.22,171.12,SEA
10,1,3.0,1,0.5,0.0,0.0,931.6,2139.2,562.2,716.9,510.8,336.9,816.6,1153.5,526.7,661.7,246.7,535.9,142.5,917.7,2221.8,653.8,173.4,512.7,330.5,1073.2,537.3,667.9,272.9,495.3,118.0,34.0,141114.9,0.57,0.43,0.78,0.22,0.37,0.63,0.57,0.43,16.0,3.86,0.86,1.79,0.42,0.75,30.96,18.51,69.42,0.38,1.35,0.03,7.0,4.73,0.59,0.09,1980.59,0.53,226.68,61.54,72.43,729.65,6.77,35.62,51.35,18.07,127.63,28.45,60.19,172.16,SEA
11,1,2.6,1,0.5,0.0,0.0,922.2,2134.4,560.2,715.4,505.6,329.9,807.9,1137.8,531.4,681.4,262.7,543.4,144.9,902.5,2195.2,660.3,187.8,549.7,331.2,1080.7,526.4,667.7,273.0,524.0,120.8,34.0,137371.1,0.58,0.42,0.78,0.22,0.38,0.62,0.6,0.4,9.42,4.11,0.97,1.95,0.43,0.79,30.96,24.14,75.91,0.43,1.2,0.03,9.92,9.63,0.69,0.17,1980.32,0.79,278.6,71.71,72.24,857.34,6.97,36.99,75.02,14.41,140.99,32.79,67.69,171.9,SEA
2,0,4.0,0,0.5,0.0,0.0,832.0,1813.0,403.0,578.0,335.0,300.0,646.0,946.0,521.0,597.0,245.0,506.0,126.0,845.0,1875.0,555.0,149.0,397.0,299.0,911.0,513.0,595.0,261.0,456.0,102.0,32.0,244134.0,0.44,0.56,0.44,0.56,0.44,0.56,0.62,0.38,17.0,4.68,1.18,2.09,0.48,0.69,31.32,26.98,79.57,0.43,1.23,0.0,3.68,3.14,0.73,0.0,1972.79,0.52,296.79,63.31,73.61,927.44,6.66,48.12,45.38,22.6,155.7,39.99,71.0,172.28,WAS
3,0,6.67,1,0.17,0.0,0.0,770.0,1881.0,356.33,528.67,390.33,337.33,681.33,1018.67,456.33,557.0,253.0,498.67,126.67,809.0,1921.67,496.33,147.0,404.33,320.33,1015.67,495.67,560.33,261.0,454.67,102.67,32.0,245822.67,0.35,0.65,0.48,0.52,0.23,0.77,0.33,0.67,17.0,4.72,1.08,1.85,0.4,0.65,30.0,21.59,61.89,0.42,0.38,0.0,1.02,0.51,0.64,0.0,1973.08,0.38,233.99,37.39,72.23,789.29,5.76,46.74,37.28,21.37,147.26,33.74,57.1,167.09,WAS
4,0,4.83,0,0.58,0.0,0.0,788.0,1895.5,357.67,503.33,416.67,333.67,694.67,1028.33,486.17,570.0,237.0,476.83,110.33,797.5,1912.33,517.17,147.0,425.17,314.67,1002.33,468.83,565.17,249.0,447.83,101.83,32.0,252529.83,0.44,0.56,0.52,0.48,0.36,0.64,0.45,0.55,17.0,3.77,0.83,1.67,0.4,0.68,29.43,19.15,61.5,0.41,0.61,0.0,5.49,5.38,0.6,0.07,1975.08,0.59,200.8,39.1,70.83,709.62,6.6,34.36,43.42,9.62,117.13,26.19,53.09,156.38,WAS
5,0,5.7,1,0.35,0.0,0.0,831.2,2013.7,367.0,504.8,452.0,353.0,698.0,1051.0,518.9,612.4,227.4,470.9,105.8,842.1,1960.6,586.7,156.6,447.9,322.4,1047.4,517.7,565.1,249.8,455.9,108.7,32.8,247001.9,0.37,0.63,0.38,0.62,0.36,0.64,0.39,0.61,17.0,4.45,0.86,1.77,0.42,0.71,30.18,22.5,73.14,0.47,0.67,0.0,5.41,1.98,0.64,0.05,1977.45,0.56,263.69,52.8,72.0,785.66,7.91,46.17,50.61,11.76,138.25,27.45,56.32,158.05,WAS
6,0,5.1,0,0.4,0.0,0.0,853.1,2066.0,409.0,562.5,395.1,351.0,712.8,1063.8,502.8,633.9,235.8,448.7,112.4,854.6,1990.2,636.0,153.7,444.6,329.5,1081.5,528.0,588.6,243.6,470.8,110.6,33.4,233906.3,0.42,0.58,0.47,0.53,0.36,0.64,0.4,0.6,17.0,3.9,0.98,1.68,0.42,0.71,30.33,22.77,79.88,0.43,2.83,0.04,8.0,2.71,0.63,0.02,1977.07,0.53,233.37,54.67,71.75,780.92,8.08,41.04,34.35,19.17,133.36,33.5,56.08,160.79,WAS
7,0,4.9,1,0.25,0.0,0.0,860.5,2042.8,409.5,565.9,434.2,316.9,700.0,1016.9,512.1,667.9,245.2,439.1,98.0,852.8,1949.6,657.0,152.7,441.7,305.3,1063.3,540.6,613.3,227.0,486.9,110.4,33.8,206600.5,0.44,0.56,0.52,0.48,0.37,0.63,0.43,0.57,17.0,3.9,1.04,1.75,0.42,0.75,29.94,23.65,80.81,0.45,1.54,0.09,6.48,6.34,0.69,0.04,1977.02,0.8,253.46,57.01,72.01,836.71,8.24,36.46,71.21,13.65,127.26,34.62,57.32,170.21,WAS
8,0,4.6,0,0.3,0.0,0.0,924.7,2106.7,460.5,632.7,468.9,317.4,726.6,1044.0,535.7,720.7,272.7,477.9,103.5,877.2,2008.3,741.1,172.9,484.3,309.1,1056.3,562.6,648.1,234.8,525.6,102.1,34.0,171512.9,0.48,0.52,0.63,0.37,0.33,0.67,0.49,0.51,17.0,3.72,1.04,1.77,0.42,0.76,30.65,22.62,80.86,0.43,0.77,0.08,4.34,3.99,0.63,0.01,1978.01,1.04,247.22,67.43,72.34,782.35,7.5,35.76,64.28,12.43,123.61,33.74,57.52,170.04,WAS
9,0,4.6,0,0.2,0.0,0.0,912.3,2130.1,550.6,725.4,498.1,319.9,752.2,1072.1,511.7,745.0,282.1,520.1,115.1,895.3,2092.7,773.9,175.8,503.0,336.5,1110.9,556.9,701.2,242.7,553.5,100.6,34.0,149023.5,0.49,0.51,0.6,0.4,0.38,0.62,0.48,0.52,17.0,3.71,0.91,1.61,0.43,0.77,30.74,17.45,69.71,0.41,0.82,0.0,3.27,0.65,0.55,0.03,1979.87,0.85,220.77,64.97,71.4,689.29,5.88,38.41,43.71,13.35,125.27,29.57,52.51,167.28,WAS
10,0,5.2,1,0.1,0.0,0.0,905.0,2140.0,518.8,712.9,497.8,337.9,764.6,1102.5,501.7,758.2,268.2,577.8,107.3,913.9,2110.8,779.3,180.3,521.1,328.2,1110.2,552.6,713.0,273.3,550.7,117.9,34.0,145632.4,0.41,0.59,0.49,0.51,0.33,0.67,0.4,0.6,17.0,3.85,0.92,1.87,0.43,0.72,31.06,20.09,86.45,0.42,0.06,0.02,0.66,0.37,0.59,0.0,1981.97,1.4,245.73,69.75,72.24,737.85,4.9,39.42,46.59,11.27,124.15,29.19,59.33,174.52,WAS
